college,long,lat,State
Abilene Christian University,-99.70735955,32.4699728,Texas
Adelphi University,-73.65197185,40.7197638,New York
Adrian College,-84.0608324,41.89849465,Michigan
Agnes Scott College,-84.2944452,33.7688851,Georgia
Alaska Pacific University,-149.8098437,61.1888471,Alaska
Albertson College,-116.949748,43.619187,Idaho
Albertus Magnus College,-72.928837,41.329045,Connecticut
Albion College,-84.74290095,42.2437255,Michigan
Albright College,-75.91176287,40.3627666,Pennsylvania
Alderson-Broaddus College,-80.04973732,39.15733365,West Virginia
Alfred University,-77.78570871,42.255862,New York
Allegheny College,-80.14529767,41.6480894,Pennsylvania
Allentown Coll. of St. Francis de Sales,-75.478699,40.594806,Pennsylvania
Alma College,-84.67134903,43.38147395,Michigan
Alverno College,-87.96548224,42.98375305,Wisconsin
American International College,-72.558754,42.113338,Massachusetts
Amherst College,-72.51606918,42.3703768,Massachusetts
Anderson University,-85.66071898,40.11455395,Indiana
Andrews University,-86.36331554,41.96966265,Michigan
Angelo State University,-100.4553039,31.4389278,Texas
Antioch University,-122.3462752,47.6159398,Washington
Appalachian State University,-81.6860913,36.21135245,North Carolina
Aquinas College,-85.034459,42.964923,Michigan
Arizona State University Main campus,-111.932044,33.416633,Arizona
Arkansas College (Lyon College),-91.6243052,35.7775766,Arkansas
Arkansas Tech University,-93.13553584,35.2936705,Arkansas
Assumption College,-71.82759,42.302329,Massachusetts
Auburn University-Main Campus,-85.484619,32.604721,Alabama
Augsburg College,-93.2446,44.9665,Minnesota
Augustana College,-90.55036987,41.5015277,Illinois
Augustana College IL,-90.55036987,41.5015277,Illinois
Austin College,-96.59801788,33.6474084,Texas
Averett College,-85.831957,31.304516,Alabama
Baker University,-95.1871672,38.77756075,Kansas
Baldwin-Wallace College,-81.84848947,41.37161015,Ohio
Barat College,-87.83031665,42.23407975,Illinois
Bard College,-73.906885,42.0216207,New York
Barnard College,-73.96352578,40.80951685,New York
Barry University,-80.20151681,25.8790289,Florida
Baylor University,-97.11029056,31.55043405,Texas
Beaver College,-80.30630009,40.65479325,Pennsylvania
Bellarmine College,-85.70584114,38.2187504,Kentucky
Belmont Abbey College,-81.03636115,35.2614301,North Carolina
Belmont University,-86.79265777,36.13278325,Tennessee
Beloit College,-89.01577774,42.5009819,Wisconsin
Bemidji State University,-94.87407843,47.4850208,Minnesota
Benedictine College,-95.11391905,39.5751839,Kansas
Bennington College,-73.23852532,42.92044325,Vermont
Bentley College,-71.229244,42.388672,Massachusetts
Berry College,-85.19174087,34.293036,Georgia
Bethany College,-80.56165857,40.20580445,West Virginia
Bethel College,-97.34339387,38.0761894,Kansas
Bethel College KS,-97.34339387,38.0761894,Kansas
Bethune Cookman College,-81.0319825,29.21185355,Florida
Birmingham-Southern College,-86.85584697,33.51618545,Alabama
Blackburn College,-89.87157712,39.28959765,Illinois
Bloomsburg Univ. of Pennsylvania,-76.44703607,41.0089926,Pennsylvania
Bluefield College,-81.2480024,37.24510425,Virginia
Bluffton College,-83.9081696,40.9052171,Ohio
Boston University,-71.10170123,42.3504324,Massachusetts
Bowdoin College,-69.96142281,43.90869735,Maine
Bowling Green State University,-83.62978902,41.3795005,Ohio
Bradford College,-71.176638,42.774325,Massachusetts
Bradley University,-89.61551386,40.6981131,Illinois
Brandeis University,-71.25801965,42.36650945,Massachusetts
Brenau University,-83.82235378,34.30369005,Georgia
Brewton-Parker College,-82.58389675,32.1862441,Georgia
Briar Cliff College,-96.350056,42.498866,Iowa
Bridgewater College,-78.9715026,38.3772478,Virginia
Brigham Young University at Provo,-111.649316,40.250759,Utah
Brown University,-71.40880087,41.8186395,Rhode Island
Bryn Mawr College,-75.31545509,40.0286808,Pennsylvania
Bucknell University,-76.88796034,40.9515356,Pennsylvania
Buena Vista College,-95.153076,42.641673,Iowa
Butler University,-86.17374943,39.8407191,Indiana
Cabrini College,-75.37450457,40.05625795,Pennsylvania
Caldwell College,-74.27132973,40.83390785,New Jersey
California Lutheran University,-118.837707,34.228515,California
California Polytechnic-San Luis,-120.659615,35.301825,California
California State University at Fresno,-119.725537,36.810489,California
Calvin College,-85.603291,42.932437,Michigan
Campbell University,-78.7392468,35.408071,North Carolina
Campbellsville College,-85.348012,37.347069,Kentucky
Canisius College,-78.86104023,42.92180235,New York
Capital University,-82.93763172,39.9557598,Ohio
Capitol College,-76.876978,39.03092,Maryland
Carleton College,-93.14145806,44.47183535,Minnesota
Carnegie Mellon University,-79.94271918,40.4441897,Pennsylvania
Carroll College,-88.22926409,43.00395265,Wisconsin
Carson-Newman College,-83.4893263,36.12206325,Tennessee
Carthage College,-87.82229092,42.6228012,Wisconsin
Case Western Reserve University,-81.60070217,41.50138695,Ohio
Castleton State College,-73.1804683,43.6064743,Vermont
Catawba College,-80.48600853,35.69155045,North Carolina
Catholic University of America,-76.827759,38.935009,District of Columbia
Cedar Crest College,-75.5196287,40.5870414,Pennsylvania
Cedarville College,-83.81705049,39.7540491,Ohio
Centenary College,-74.171257,40.868567,New Jersey
Centenary College of Louisiana,-93.73171274,32.4842248,Louisiana
Center for Creative Studies,-83.06304457,42.36128,Michigan
Central College,-92.93159878,41.4036435,Iowa
Central Connecticut State University,-72.76542903,41.69292775,Connecticut
Central Missouri State University,-93.73796,38.76279,Missouri
Central Washington University,-120.5367304,47.00646895,Washington
Central Wesleyan College,-81.009468,34.938557,South Carolina
Centre College,-84.78112961,37.64504455,Kentucky
