Account Number,Score_Busy,Score_Cleanliness,Score_Cost,Score_Overall,Date
9161,8,4,6,8,17/12/2019
9161,4,9,4,7,14/9/2019
9161,5,7,5,5,2/6/2019
4618,5,7,5,4,15/12/2019
4618,3,5,5,4,28/9/2019
4618,2,7,6,4,9/6/2019
4618,1,6,7,2,20/3/2019
8554,4,8,1,3,24/12/2019
8554,6,9,1,3,28/9/2019
8554,6,10,1,7,25/6/2019
8554,5,8,1,2,3/3/2019
5810,8,9,6,5,13/12/2019
5810,10,7,4,8,28/9/2019
5810,9,9,3,7,23/6/2019
765,4,6,9,8,5/12/2019
765,5,4,9,6,24/9/2019
765,6,4,10,4,23/6/2019
765,8,6,10,6,6/3/2019
10100,2,8,7,4,13/12/2019
10100,9,9,1,5,8/9/2019
10100,10,9,1,6,20/6/2019
10100,8,7,2,5,29/3/2019
12101,8,8,10,8,25/12/2019
12101,9,7,10,10,21/9/2019
8034,5,6,7,6,24/12/2019
8034,5,5,7,7,16/9/2019
8034,5,5,5,3,27/6/2019
8034,7,7,7,8,25/3/2019
6850,8,5,8,8,21/12/2019
9690,4,7,7,8,13/12/2019
9690,3,7,7,4,25/9/2019
9690,5,8,7,4,18/6/2019
4024,5,8,5,8,28/12/2019
4024,4,8,5,3,28/9/2019
4024,6,10,6,7,5/6/2019
4024,6,8,6,6,7/3/2019
12219,9,7,8,6,12/12/2019
5669,6,10,3,7,21/12/2019
5669,5,8,1,5,7/9/2019
5669,6,7,1,3,16/6/2019
5669,6,8,1,4,2/3/2019
1998,8,7,10,7,30/12/2019
1998,6,7,10,7,4/9/2019
1998,7,5,10,6,10/6/2019
1998,9,3,10,5,14/3/2019
3577,3,8,3,6,31/12/2019
3577,3,10,4,4,30/9/2019
3577,2,8,3,3,6/6/2019
3577,1,9,4,3,28/3/2019
534,4,8,1,3,16/12/2019
534,10,6,9,9,6/9/2019
534,10,8,10,10,16/6/2019
534,10,9,10,9,27/3/2019
1896,2,7,5,6,19/12/2019
1896,2,9,5,5,17/9/2019
1896,1,10,4,6,26/6/2019
1896,1,10,3,2,24/3/2019
11486,3,9,9,7,26/12/2019
11486,3,10,7,5,5/9/2019
11486,4,9,5,7,18/6/2019
11486,3,9,3,3,29/3/2019
883,5,10,3,8,26/12/2019
883,8,8,7,7,1/9/2019
883,8,10,6,7,16/6/2019
1970,6,7,2,7,16/12/2019
1970,7,8,1,5,21/9/2019
2395,3,6,8,5,23/12/2019
2395,3,7,9,6,13/9/2019
2395,3,8,9,6,27/6/2019
2395,4,8,9,6,1/3/2019
6078,5,8,1,3,13/12/2019
6078,3,9,1,3,5/9/2019
6078,3,2,6,2,2/6/2019
6078,4,1,5,3,28/3/2019
10204,3,8,2,2,30/12/2019
10204,2,7,1,2,19/9/2019
10204,9,1,7,6,23/6/2019
10204,10,1,8,4,23/3/2019
10052,6,3,7,7,22/12/2019
10052,4,1,9,5,10/9/2019
5903,2,7,7,5,25/12/2019
5903,4,7,7,4,10/9/2019
5903,2,5,5,4,19/6/2019
5903,4,10,7,8,19/3/2019
6438,10,8,3,5,29/12/2019
6438,10,9,4,5,26/9/2019
6438,8,10,5,9,26/6/2019
2986,8,8,7,5,17/12/2019
2986,8,8,8,7,4/9/2019
2986,8,9,7,7,17/6/2019
2986,6,8,8,8,15/3/2019
5793,5,10,10,8,12/12/2019
5793,4,10,8,9,3/9/2019
5793,3,10,10,6,12/6/2019
5793,4,10,10,9,4/3/2019
696,6,10,3,5,11/12/2019
696,6,10,5,8,6/9/2019
696,7,10,3,7,21/6/2019
696,6,10,2,7,27/3/2019
8238,7,1,5,2,7/12/2019
8238,4,10,9,7,3/9/2019
8238,5,10,9,7,20/6/2019
568,3,3,9,6,13/12/2019
9789,2,7,4,4,22/12/2019
9789,2,8,6,3,24/9/2019
3271,5,3,9,4,4/12/2019
3271,3,3,10,6,5/9/2019
3271,2,3,10,3,6/6/2019
3271,7,6,4,5,7/3/2019
7813,10,6,1,5,21/12/2019
7813,10,6,3,4,30/9/2019
7813,9,6,5,6,6/6/2019
7813,9,8,4,5,11/3/2019
8777,1,9,2,5,6/12/2019
2964,3,7,6,5,9/12/2019
2964,1,9,6,4,12/9/2019
3963,4,7,6,6,21/12/2019
3963,6,4,7,6,22/9/2019
3963,3,8,9,6,26/6/2019
3963,1,10,10,9,6/3/2019
6749,6,6,3,6,7/12/2019
6749,5,6,1,3,27/9/2019
6749,4,7,1,6,8/6/2019
6749,2,6,1,3,16/3/2019
1494,2,9,5,5,11/12/2019
1494,9,3,10,9,30/9/2019
1494,10,4,10,6,2/6/2019
1494,10,5,9,9,6/3/2019
823,5,4,7,6,24/12/2019
823,7,4,5,3,15/9/2019
823,5,4,3,5,19/6/2019
823,5,2,1,1,9/3/2019
11855,7,6,5,7,7/12/2019
11855,6,7,5,6,29/9/2019
11855,7,6,4,4,26/6/2019
11855,6,8,6,8,13/3/2019
5048,10,10,9,10,6/12/2019
5048,10,10,8,10,29/9/2019
5048,10,10,10,10,17/6/2019
5048,9,10,10,10,11/3/2019
4755,3,7,7,3,26/12/2019
4755,9,7,1,4,15/9/2019
4755,5,2,10,5,12/6/2019
4755,5,1,10,7,8/3/2019
4613,6,7,9,5,30/12/2019
4613,7,8,7,8,24/9/2019
4613,8,6,7,9,6/6/2019
4613,7,7,7,8,20/3/2019
537,3,7,10,8,21/12/2019
537,5,7,10,8,13/9/2019
537,5,6,9,7,21/6/2019
537,9,10,8,10,5/3/2019
8578,3,3,7,6,4/12/2019
8578,2,2,5,3,18/9/2019
8578,1,2,5,3,3/6/2019
10587,4,10,7,9,1/12/2019
10587,6,10,6,9,16/9/2019
10587,5,10,5,4,10/6/2019
10587,2,3,9,5,26/3/2019
9064,4,3,8,6,28/12/2019
9064,8,3,8,4,19/9/2019
9064,8,5,9,9,11/6/2019
9064,8,4,10,6,22/3/2019
7296,2,3,10,7,13/12/2019
1266,3,10,8,7,3/12/2019
1266,6,8,5,4,20/9/2019
1266,4,9,3,4,10/6/2019
10237,3,9,9,7,24/12/2019
10237,2,7,9,5,11/9/2019
10237,2,9,9,5,8/6/2019
10237,2,7,10,7,28/3/2019
2501,4,8,5,3,2/12/2019
2501,7,5,7,4,17/9/2019
2501,9,4,5,5,27/6/2019
2501,9,5,5,8,24/3/2019
12098,8,7,6,7,10/12/2019
12098,9,9,6,9,24/9/2019
12098,10,7,5,5,28/6/2019
12098,8,7,5,8,11/3/2019
4165,8,9,5,8,23/12/2019
4165,7,8,4,5,15/9/2019
4165,8,8,2,7,25/6/2019
1246,5,1,10,6,31/12/2019
1246,7,1,9,5,1/9/2019
1246,5,7,7,7,29/6/2019
3123,10,7,7,10,26/12/2019
3123,9,6,5,4,3/9/2019
3123,8,4,3,4,30/6/2019
2239,8,4,9,9,4/12/2019
2239,9,2,8,8,19/9/2019
2239,7,1,7,4,22/6/2019
2239,9,3,7,6,3/3/2019
4932,8,5,2,3,27/12/2019
4932,10,5,1,3,18/9/2019
4932,8,9,10,8,1/6/2019
9265,4,6,9,5,10/12/2019
9265,2,4,8,5,12/9/2019
9265,3,5,8,3,7/6/2019
9265,1,5,8,2,25/3/2019
7825,8,7,5,6,13/12/2019
7825,8,7,4,4,20/9/2019
7825,6,6,3,5,27/6/2019
11904,6,8,9,5,1/12/2019
11904,8,6,9,9,17/9/2019
11904,10,8,10,10,10/6/2019
